                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0973,                0.93518,                 1.2311,                0.87148,                0.85575,                0.89888,                0.64463,                  1.028,                0.59748,                 1.1387,               0.008845,               0.008845,               0.008845
                     37,                 1.0921,                0.93081,                 1.2293,                0.87286,                0.85487,                 0.8992,                0.64521,                 1.0273,                0.59661,                 1.1386,               0.008812,               0.008812,               0.008812
                     38,                 1.1007,                0.93531,                 1.2291,                0.87378,                 0.8548,                0.89933,                 0.6455,                 1.0267,                0.59608,                  1.138,               0.008779,               0.008779,               0.008779
                     39,                 1.0956,                0.93034,                 1.2283,                0.87335,                 0.8567,                0.89964,                0.64603,                 1.0259,                0.59502,                 1.1374,               0.008746,               0.008746,               0.008746
                     40,                 1.0945,                0.92758,                 1.2274,                0.87381,                 0.8568,                0.89982,                 0.6463,                 1.0256,                 0.5941,                 1.1372,               0.008713,               0.008713,               0.008713
                     41,                 1.0957,                 0.9284,                  1.228,                0.87357,                0.85706,                0.89988,                0.64643,                 1.0251,                0.59334,                 1.1369,                0.00868,                0.00868,                0.00868
                     42,                 1.0953,                0.92854,                 1.2273,                0.87243,                0.85795,                0.90015,                0.64643,                 1.0248,                0.59245,                 1.1365,               0.008647,               0.008647,               0.008647
                     43,                 1.0955,                0.92645,                 1.2284,                0.87325,                 0.8574,                0.90049,                0.64682,                 1.0245,                 0.5917,                 1.1362,               0.008614,               0.008614,               0.008614
                     44,                 1.0908,                0.92105,                  1.226,                0.87362,                 0.8579,                0.90084,                0.64685,                 1.0245,                0.59068,                  1.136,               0.008581,               0.008581,               0.008581
                     45,                 1.0939,                0.92737,                 1.2281,                0.87409,                0.85756,                0.90083,                0.64727,                 1.0243,                0.59006,                 1.1357,               0.008548,               0.008548,               0.008548
                     46,                 1.0873,                0.91693,                 1.2238,                0.87475,                0.85737,                 0.9006,                0.64741,                 1.0242,                0.58958,                 1.1354,               0.008515,               0.008515,               0.008515
                     47,                 1.0895,                0.91636,                 1.2258,                0.87495,                0.85674,                0.90073,                0.64757,                  1.024,                0.58886,                 1.1353,               0.008482,               0.008482,               0.008482
                     48,                 1.0901,                0.91856,                 1.2266,                0.87444,                0.85779,                0.90088,                0.64778,                 1.0236,                 0.5883,                 1.1347,               0.008449,               0.008449,               0.008449
                     49,                 1.0907,                0.91367,                 1.2239,                0.87569,                 0.8575,                0.90134,                0.64802,                 1.0236,                0.58782,                 1.1346,               0.008416,               0.008416,               0.008416
                     50,                 1.0902,                0.91509,                 1.2246,                0.87576,                0.85769,                0.90137,                0.64797,                 1.0234,                0.58741,                 1.1344,               0.008383,               0.008383,               0.008383
                     51,                  1.088,                0.90883,                 1.2222,                0.87538,                0.85741,                0.90144,                0.64829,                 1.0233,                0.58699,                 1.1344,                0.00835,                0.00835,                0.00835
                     52,                 1.0863,                0.90892,                 1.2225,                 0.8751,                0.85799,                0.90136,                0.64826,                 1.0236,                0.58682,                 1.1345,               0.008317,               0.008317,               0.008317
                     53,                 1.0869,                0.90906,                 1.2227,                 0.8754,                0.85779,                0.90132,                0.64843,                 1.0233,                0.58629,                 1.1343,               0.008284,               0.008284,               0.008284
                     54,                 1.0844,                0.90587,                 1.2195,                0.87535,                0.85828,                0.90153,                 0.6485,                 1.0231,                0.58594,                 1.1337,               0.008251,               0.008251,               0.008251
                     55,                 1.0819,                0.90671,                 1.2206,                0.87484,                 0.8595,                0.90175,                0.64857,                 1.0232,                0.58524,                 1.1337,               0.008218,               0.008218,               0.008218
                     56,                 1.0828,                0.90804,                 1.2216,                0.87462,                0.86023,                0.90201,                0.64876,                 1.0232,                0.58473,                 1.1333,               0.008185,               0.008185,               0.008185
                     57,                 1.0872,                 0.9058,                 1.2202,                0.87589,                0.85932,                0.90203,                0.64887,                 1.0231,                0.58439,                 1.1331,               0.008152,               0.008152,               0.008152
                     58,                 1.0824,                0.90125,                 1.2194,                0.87439,                0.86066,                0.90224,                0.64883,                 1.0229,                 0.5839,                 1.1327,               0.008119,               0.008119,               0.008119
                     59,                 1.0853,                0.90281,                 1.2209,                0.87397,                0.86134,                0.90239,                0.64905,                 1.0226,                0.58346,                 1.1324,               0.008086,               0.008086,               0.008086
                     60,                 1.0818,                0.89792,                 1.2199,                0.87494,                0.86158,                0.90255,                 0.6491,                 1.0225,                0.58263,                 1.1322,               0.008053,               0.008053,               0.008053
                     61,                 1.0834,                  0.903,                 1.2212,                0.87545,                0.86054,                0.90261,                0.64935,                 1.0223,                0.58216,                  1.132,                0.00802,                0.00802,                0.00802
                     62,                 1.0812,                0.89779,                 1.2192,                0.87582,                 0.8597,                0.90265,                0.64958,                 1.0216,                0.58164,                 1.1317,               0.007987,               0.007987,               0.007987
                     63,                 1.0834,                0.89491,                 1.2197,                0.87651,                0.85893,                0.90257,                0.64979,                  1.021,                0.58125,                 1.1313,               0.007954,               0.007954,               0.007954
                     64,                 1.0806,                0.89511,                 1.2201,                0.87813,                0.85854,                0.90273,                0.64983,                 1.0209,                0.58094,                 1.1312,               0.007921,               0.007921,               0.007921
                     65,                 1.0826,                0.89787,                 1.2186,                0.87745,                0.85923,                0.90292,                0.65018,                 1.0208,                0.58052,                  1.131,               0.007888,               0.007888,               0.007888
                     66,                 1.0805,                0.89045,                 1.2178,                0.87708,                0.85951,                0.90287,                0.65043,                 1.0207,                 0.5803,                 1.1309,               0.007855,               0.007855,               0.007855
                     67,                 1.0761,                0.89048,                 1.2145,                0.87675,                0.86013,                0.90317,                0.65058,                 1.0203,                0.57976,                 1.1305,               0.007822,               0.007822,               0.007822
                     68,                 1.0785,                0.88994,                 1.2169,                0.87639,                 0.8606,                0.90342,                0.65081,                 1.0202,                0.57959,                 1.1302,               0.007789,               0.007789,               0.007789
                     69,                 1.0779,                0.88726,                 1.2159,                0.87641,                0.86048,                0.90345,                0.65091,                 1.0204,                0.57909,                 1.1302,               0.007756,               0.007756,               0.007756
                     70,                 1.0773,                0.88627,                 1.2148,                 0.8742,                0.86202,                0.90364,                 0.6513,                 1.0203,                0.57841,                   1.13,               0.007723,               0.007723,               0.007723
                     71,                 1.0771,                0.88644,                 1.2122,                 0.8741,                0.86156,                0.90366,                0.65114,                 1.0197,                0.57798,                 1.1294,                0.00769,                0.00769,                0.00769
                     72,                 1.0752,                0.88574,                 1.2149,                0.87519,                 0.8615,                0.90393,                0.65141,                 1.0191,                0.57743,                 1.1289,               0.007657,               0.007657,               0.007657
                     73,                 1.0755,                0.88131,                 1.2122,                0.87644,                0.86179,                0.90412,                0.65186,                 1.0188,                 0.5771,                 1.1284,               0.007624,               0.007624,               0.007624
                     74,                 1.0769,                0.88116,                 1.2129,                0.87543,                0.86179,                0.90386,                0.65204,                 1.0186,                0.57673,                 1.1282,               0.007591,               0.007591,               0.007591
                     75,                 1.0757,                0.88323,                  1.214,                0.87458,                0.86299,                0.90409,                0.65218,                 1.0182,                0.57654,                 1.1277,               0.007558,               0.007558,               0.007558
                     76,                 1.0764,                0.88003,                 1.2118,                0.87544,                0.86294,                0.90445,                0.65234,                 1.0178,                0.57617,                 1.1272,               0.007525,               0.007525,               0.007525
                     77,                  1.075,                0.88037,                 1.2146,                0.87466,                0.86348,                0.90448,                0.65253,                 1.0173,                0.57587,                 1.1267,               0.007492,               0.007492,               0.007492
                     78,                 1.0762,                0.87936,                 1.2133,                0.87411,                0.86434,                0.90454,                0.65284,                  1.017,                0.57573,                 1.1266,               0.007459,               0.007459,               0.007459
                     79,                 1.0687,                0.87706,                 1.2091,                0.87481,                 0.8636,                0.90463,                0.65315,                 1.0166,                0.57501,                 1.1262,               0.007426,               0.007426,               0.007426
                     80,                 1.0693,                0.87248,                 1.2088,                0.87507,                0.86501,                0.90492,                0.65342,                 1.0163,                0.57436,                  1.126,               0.007393,               0.007393,               0.007393
                     81,                 1.0749,                0.87638,                 1.2115,                0.87553,                0.86477,                0.90475,                0.65328,                  1.016,                0.57391,                 1.1255,                0.00736,                0.00736,                0.00736
                     82,                  1.071,                0.87353,                 1.2101,                0.87605,                0.86428,                0.90502,                0.65344,                 1.0159,                0.57355,                 1.1253,               0.007327,               0.007327,               0.007327
                     83,                 1.0697,                 0.8744,                 1.2102,                0.87784,                0.86312,                0.90515,                0.65372,                 1.0158,                0.57287,                 1.1252,               0.007294,               0.007294,               0.007294
